Loading Anaconda module
Activating Conda environment
Running the training script
file                 |  probability |   ESU_shard2 |   ESU_shard4
--------------------------------------------------------------------------------
R54.json             |        0.000 |           S1 |           S1
R76.json             |        0.082 |           S1 |           S1
R91.json             |        0.120 |           S1 |           S1
R95.json             |        0.130 |           S1 |           S1
R21.json             |        0.137 |           S1 |           S1
R22.json             |        0.139 |           S1 |           S1
R20.json             |        0.152 |           S1 |           S1
R57.json             |        0.206 |           S1 |           S1
R83.json             |        0.219 |           S1 |           S1
R81.json             |        0.223 |           S1 |           S1
R51.json             |        0.225 |           S1 |           S1
R61.json             |        0.227 |           S1 |           S1
R86.json             |        0.227 |           S1 |           S1
R29.json             |        0.230 |           S1 |           S1
R55.json             |        0.230 |           S1 |           S1
R67.json             |        0.232 |           S1 |           S1
R37.json             |        0.238 |           S1 |           S1
R23.json             |        0.245 |           S1 |           S1
R02.json             |        0.247 |           S1 |           S1
R27.json             |        0.252 |           S1 |           S1
R94.json             |        0.255 |           S1 |           S1
R84.json             |        0.299 |           S1 |           S1
R09.json             |        0.300 |           S1 |           S1
R24.json             |        0.300 |           S1 |           S1
R87.json             |        0.300 |           S1 |           S1
R93.json             |        0.300 |           S1 |           S2
R04.json             |        0.304 |           S1 |           S2
R25.json             |        0.305 |           S1 |           S2
R46.json             |        0.308 |           S1 |           S2
R64.json             |        0.311 |           S1 |           S2
R68.json             |        0.311 |           S1 |           S2
R44.json             |        0.315 |           S1 |           S2
R77.json             |        0.316 |           S1 |           S2
R01.json             |        0.323 |           S1 |           S2
R34.json             |        0.324 |           S1 |           S2
R30.json             |        0.342 |           S1 |           S2
R08.json             |        0.354 |           S1 |           S2
R60.json             |        0.357 |           S1 |           S2
R07.json             |        0.360 |           S1 |           S2
R11.json             |        0.360 |           S1 |           S2
R06.json             |        0.361 |           S1 |           S2
R19.json             |        0.362 |           S1 |           S2
R32.json             |        0.362 |           S1 |           S2
R33.json             |        0.363 |           S1 |           S2
R53.json             |        0.363 |           S1 |           S2
R31.json             |        0.364 |           S1 |           S2
R42.json             |        0.366 |           S1 |           S2
R66.json             |        0.368 |           S1 |           S2
R79.json             |        0.369 |           S1 |           S2
R40.json             |        0.372 |           S1 |           S2
R96.json             |        0.372 |           S2 |           S3
R56.json             |        0.374 |           S2 |           S3
R89.json             |        0.380 |           S2 |           S3
R26.json             |        0.381 |           S2 |           S3
R35.json             |        0.381 |           S2 |           S3
R47.json             |        0.384 |           S2 |           S3
R12.json             |        0.385 |           S2 |           S3
R48.json             |        0.387 |           S2 |           S3
R52.json             |        0.388 |           S2 |           S3
R63.json             |        0.388 |           S2 |           S3
R70.json             |        0.391 |           S2 |           S3
R49.json             |        0.393 |           S2 |           S3
R03.json             |        0.404 |           S2 |           S3
R13.json             |        0.416 |           S2 |           S3
R62.json             |        0.417 |           S2 |           S3
R43.json             |        0.418 |           S2 |           S3
R36.json             |        0.420 |           S2 |           S3
R69.json             |        0.421 |           S2 |           S3
R28.json             |        0.427 |           S2 |           S3
R50.json             |        0.427 |           S2 |           S3
R71.json             |        0.436 |           S2 |           S3
R90.json             |        0.436 |           S2 |           S3
R39.json             |        0.447 |           S2 |           S3
R92.json             |        0.447 |           S2 |           S3
R05.json             |        0.455 |           S2 |           S3
R41.json             |        0.455 |           S2 |           S4
R38.json             |        0.457 |           S2 |           S4
R65.json             |        0.459 |           S2 |           S4
R17.json             |        0.463 |           S2 |           S4
R14.json             |        0.469 |           S2 |           S4
R88.json             |        0.485 |           S2 |           S4
R72.json             |        0.498 |           S2 |           S4
R73.json             |        0.498 |           S2 |           S4
R58.json             |        0.505 |           S2 |           S4
R16.json             |        0.518 |           S2 |           S4
R82.json             |        0.521 |           S2 |           S4
R85.json             |        0.522 |           S2 |           S4
R74.json             |        0.523 |           S2 |           S4
R75.json             |        0.524 |           S2 |           S4
R78.json             |        0.534 |           S2 |           S4
R18.json             |        0.540 |           S2 |           S4
R97.json             |        0.576 |           S2 |           S4
R10.json             |        0.583 |           S2 |           S4
R98.json             |        0.593 |           S2 |           S4
R80.json             |        0.600 |           S2 |           S4
R99.json             |        0.605 |           S2 |           S4
R59.json             |        0.610 |           S2 |           S4
R100.json            |        0.622 |           S2 |           S4
R45.json             |        0.663 |           S2 |           S4
R15.json             |        0.700 |           S2 |           S4

Completed in 72.05 seconds.
Job finished
