Loading Anaconda module
Activating Conda environment
Running the training script
file                 |  probability |   ESU_shard2 |   ESU_shard4
--------------------------------------------------------------------------------
retain44.json        |        0.000 |           S1 |           S1
retain61.json        |        0.082 |           S1 |           S1
retain76.json        |        0.120 |           S1 |           S1
retain80.json        |        0.130 |           S1 |           S1
retain20.json        |        0.152 |           S1 |           S1
retain47.json        |        0.206 |           S1 |           S1
retain68.json        |        0.219 |           S1 |           S1
retain66.json        |        0.223 |           S1 |           S1
retain41.json        |        0.225 |           S1 |           S1
retain51.json        |        0.227 |           S1 |           S1
retain71.json        |        0.227 |           S1 |           S1
retain24.json        |        0.230 |           S1 |           S1
retain45.json        |        0.230 |           S1 |           S1
retain57.json        |        0.232 |           S1 |           S1
retain32.json        |        0.238 |           S1 |           S1
retain02.json        |        0.247 |           S1 |           S1
retain22.json        |        0.252 |           S1 |           S1
retain79.json        |        0.255 |           S1 |           S1
retain69.json        |        0.299 |           S1 |           S1
retain09.json        |        0.300 |           S1 |           S1
retain72.json        |        0.300 |           S1 |           S2
retain78.json        |        0.300 |           S1 |           S2
retain04.json        |        0.304 |           S1 |           S2
retain54.json        |        0.311 |           S1 |           S2
retain58.json        |        0.311 |           S1 |           S2
retain39.json        |        0.315 |           S1 |           S2
retain62.json        |        0.316 |           S1 |           S2
retain01.json        |        0.323 |           S1 |           S2
retain29.json        |        0.324 |           S1 |           S2
retain25.json        |        0.342 |           S1 |           S2
retain08.json        |        0.354 |           S1 |           S2
retain50.json        |        0.357 |           S1 |           S2
retain07.json        |        0.360 |           S1 |           S2
retain11.json        |        0.360 |           S1 |           S2
retain06.json        |        0.361 |           S1 |           S2
retain19.json        |        0.362 |           S1 |           S2
retain27.json        |        0.362 |           S1 |           S2
retain28.json        |        0.363 |           S1 |           S2
retain43.json        |        0.363 |           S1 |           S2
retain26.json        |        0.364 |           S1 |           S2
retain37.json        |        0.366 |           S2 |           S3
retain56.json        |        0.368 |           S2 |           S3
retain64.json        |        0.369 |           S2 |           S3
retain35.json        |        0.372 |           S2 |           S3
retain46.json        |        0.374 |           S2 |           S3
retain74.json        |        0.380 |           S2 |           S3
retain21.json        |        0.381 |           S2 |           S3
retain30.json        |        0.381 |           S2 |           S3
retain12.json        |        0.385 |           S2 |           S3
retain42.json        |        0.388 |           S2 |           S3
retain53.json        |        0.388 |           S2 |           S3
retain60.json        |        0.391 |           S2 |           S3
retain03.json        |        0.404 |           S2 |           S3
retain13.json        |        0.416 |           S2 |           S3
retain52.json        |        0.417 |           S2 |           S3
retain38.json        |        0.418 |           S2 |           S3
retain31.json        |        0.420 |           S2 |           S3
retain59.json        |        0.421 |           S2 |           S3
retain23.json        |        0.427 |           S2 |           S3
retain75.json        |        0.436 |           S2 |           S3
retain34.json        |        0.447 |           S2 |           S4
retain77.json        |        0.447 |           S2 |           S4
retain05.json        |        0.455 |           S2 |           S4
retain36.json        |        0.455 |           S2 |           S4
retain33.json        |        0.457 |           S2 |           S4
retain55.json        |        0.459 |           S2 |           S4
retain17.json        |        0.463 |           S2 |           S4
retain14.json        |        0.469 |           S2 |           S4
retain73.json        |        0.485 |           S2 |           S4
retain48.json        |        0.505 |           S2 |           S4
retain16.json        |        0.518 |           S2 |           S4
retain67.json        |        0.521 |           S2 |           S4
retain70.json        |        0.522 |           S2 |           S4
retain63.json        |        0.534 |           S2 |           S4
retain18.json        |        0.540 |           S2 |           S4
retain10.json        |        0.583 |           S2 |           S4
retain65.json        |        0.600 |           S2 |           S4
retain49.json        |        0.610 |           S2 |           S4
retain40.json        |        0.663 |           S2 |           S4
retain15.json        |        0.700 |           S2 |           S4

Completed in 6.48 seconds.
Job finished
